'		拡
,	、
.	。
p		っ
っa	ぁ
っi	ぃ
っu	ぅ
っe	ぇ
っo	ぉ
っw	ゎ
っfa	ゃ
っfu	ゅ
っfo	ょ
-	ー
a	あ
i	い
u	う
e	え
o	お
;	あん
x	いん
k	うん
j	えん
q	おん
f		f
g		g
c		c
r		r
l		l
d		d
h		h
t		t
n		n
s		s
b		b
m		m
w		w
v		v
z		z
y		y
ca	か
ci	き
cu	く
ce	け
co	こ
c;	かん
cx	きん
ck	くん
cj	けん
cq	こん
c'	かい
cy	くい
cp	くう
c.	けい
c,	こう
cf	から
cg		きf
cc	きゅう
cr		くp
cl	きょう
cd	かた
ch		カく
ct	こと
cn		カつ
cb	かんがえ
cm	かも
sa	さ
si	し
su	す
se	せ
so	そ
s;	さん
sx	しん
sk	すん
sj	せん
sq	そん
s'	さい
sy	すい
sp	すう
s.	せい
s,	そう
sg		しまo
sc		しy
sr		すp
sd		されp
sh		しf
st	しゅう
sn	させ
ss	しょう
sm		サく
sz	それぞれ
sb		サき
sw		サつ
ta	た
ti	ち
tu	つ
te	て
to	と
t;	たん
tx	ちん
tk	つん
tj	てん
tq	とん
t'	たい
ty	つい
tp	つう
t.	てい
t,	とう
tf		つf
tc	とき
tr		とp
td	という
th		ちf
tt	ちゅう
tn	として
ts	ちょう
tb		タき
tm		タく
tv	いただ
tw		でf
tw		てf
na	な
ni	に
nu	ぬ
ne	ね
no	の
n;	なん
nx	にん
nk	ぬん
nj	ねん
nq	のん
n'	ない
ny	ぬい
np	ぬう
n.	ねい
n,	のう
nf	ながら
ng	なか
nc	について
nr		なp
nd	など
nh		にf
nt	にゅう
nn	ん
ns	にょう
nb	なければ
nm		ナく
nz	なった
nw	なくて
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
h;	はん
hx	ひん
hk	ふん
hj	へん
hq	ほん
h'	はい
hy	ふい
hp	ふう
h.	へい
h,	ほう
hc		ハつ
hr		ふp
hl		ハく
hd	ほど
hh	ひと
ht	ひゅう
hn		ひf
hs	ひょう
hb		はなo
hz	ひじょう
ma	ま
mi	み
mu	む
me	め
mo	も
m;	まん
mx	みん
mk	むん
mj	めん
mq	もん
m'	まい
my	むい
mp	むう
m.	めい
m,	もう
mc	もの
mr		まp
ml		まo
md	まで
mt		マつ
mn	また
mb	もうしあげ
mm	おも
mv		みf
mz	みょう
mw	みゅー
ms		マく
fa	や
fi	よい
fu	ゆ
fe	いぇ
fe	よって
fo	よ
f;	やん
fk	ゆん
fj	いわれ
fq	よん
f'	やい
fy	ゆい
fp	ゆう
f.	えい
f,	よう
ff	いう
fg	よこ
fc	やま
fr		よp
fl		やp
fd		やすt
fs		ヤく
fb	ゆび
ra	ら
ri	り
ru	る
re	れ
ro	ろ
r;	らん
rx	りん
rk	るん
rj	れん
rq	ろん
r'	らい
ry	るい
rp	るう
r.	れい
r,	ろう
rg		りf
rc	りゅう
rl	りょう
rd	られ
rh		ラく
rt		ラつ
rb	れば
wa	わ
wi	うぃ
we	うぇ
wo	を
w;	わん
wx	うぃん
wj	うぇん
wq	うぉん
w'	わい
w.	うぇい
w,	うぉー
wc		わかp
wh		ワく
wt	わたし
wn		わp
